Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2517932,155.8453407,17.61418052,0.98,0.77,0.814921197,0.814921197,0.814921197,A,C,2,DESI-155.8453+17.6142,155.8453,17.6142,A
2520241,152.0733359,17.25531985,0.89,0.78,2.912060341,2.912060341,2.912060341,C,A,2,DESI-152.0733+17.2553,152.0733,17.2553,B
2520705,243.3334194,17.14422026,0.94,0.8,0.753081912,0.753081912,0.753081912,A,B,2,DESI-243.3334+17.1442,243.3334,17.1442,A
2537346,204.4782144,15.01348341,0.97,0.78,1.446825715,1.446825715,1.446825715,C,B,2,DESI-204.4782+15.0135,204.4782,15.0135,C
2539554,201.4979315,14.68622396,0.97,0.84,0.590288205,0.590288205,0.590288205,A,C,2,DESI-201.4979+14.6862,201.4979,14.6862,B
2541128,34.15257445,14.51286065,0.95,0.71,0.560097769,0.560097769,0.560097769,A,C,2,DESI-034.1526+14.5129,34.1526,14.5129,C
2555737,325.8843484,12.57448803,0.96,0.65,0.765247239,0.765247239,0.765247239,A,C,2,DESI-325.8843+12.5745,325.8843,12.5745,C
2562892,182.4903848,11.61611335,0.89,0.96,2.816432721,2.816432721,2.816432721,C,A,2,DESI-182.4904+11.6161,182.4904,11.6161,C
2566504,317.7873361,11.11174975,0.92,0.74,0.54063192,0.54063192,0.54063192,A,C,2,DESI-317.7873+11.1117,317.7873,11.1117,C
2568725,31.34083383,10.77909227,0.93,0.85,1.355549454,1.355549454,1.355549454,B,A,2,DESI-031.3408+10.7791,31.3408,10.7791,B
2580001,183.1848902,9.202027705,0.96,0.66,2.020440111,2.020440111,2.020440111,A,A,2,DESI-183.1849+09.2020,183.1849,9.202,B
2587116,23.26956495,8.278897046,0.91,0.9,1.547988069,1.547988069,1.547988069,B,A,2,DESI-023.2696+08.2789,23.2696,8.2789,A
2587193,145.1129701,8.262540201,0.92,0.63,1.846142194,1.846142194,1.846142194,A,A,2,DESI-145.1130+08.2625,145.113,8.2625,C
2587254,345.9391239,8.248642332,0.97,0.74,1.721486076,1.721486076,1.721486076,A,A,2,DESI-345.9391+08.2486,345.9391,8.2486,A
2590593,242.8201318,7.844631147,0.98,0.66,1.98806827,1.98806827,1.98806827,C,A,2,DESI-242.8201+07.8446,242.8201,7.8446,B
2593284,143.029652,7.380998129,0.98,0.83,1.327764231,1.327764231,1.327764231,B,B,2,DESI-143.0297+07.3810,143.0297,7.381,A
2596319,180.6180603,7.057171644,0.95,0.92,1.214156475,1.214156475,1.214156475,A,B,2,DESI-180.6181+07.0572,180.6181,7.0572,A
