Clusterid,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_GLQ,in_D22,Grade_by_D22,q,phi,rein,NOTE
2480284,256.9122793,22.60556325,0.97,0.7,0.531625786,0.531625786,0.531625786,A,C,2,FALSE,FALSE,,,,,
2480289,12.00657724,22.60410829,0.97,0.8,2.283291126,2.283291126,2.283291126,B,B,2,FALSE,TRUE,C,,,,
2480714,325.6652705,22.50301948,0.9,0.86,0.976805057,0.976805057,0.976805057,B,C,2,FALSE,FALSE,,,,,
2481044,192.6941354,22.43231861,0.88,0.85,1.833266668,1.833266668,1.833266668,B,A,2,FALSE,TRUE,C,,,,
2484312,254.7080284,22.03398241,0.95,0.53,2.438463282,2.438463282,2.438463282,C,C,2,FALSE,FALSE,,,,,
2484493,179.0937765,21.98792367,0.93,0.72,2.886312736,2.683802596,2.785057666,A,B,3,FALSE,FALSE,,,,,
2486665,119.0570002,21.64381975,0.92,0.53,1.869721293,1.869721293,1.869721293,B,B,2,FALSE,FALSE,,,,,
2487691,256.0384703,21.592747,0.92,0.78,1.179288954,1.179288954,1.179288954,A,C,2,FALSE,FALSE,,,,,4?
2489710,272.2791675,21.29354365,0.91,0.72,4.23682439,4.23682439,4.23682439,C,B,2,FALSE,FALSE,,,,,obvious lens
2491837,9.316052761,20.97378117,0.98,0.8,1.019513072,1.019513072,1.019513072,A,C,2,FALSE,TRUE,A,,,,
2498881,169.4572172,20.04124234,0.95,0.9,0.740073875,0.740073875,0.740073875,A,C,2,FALSE,FALSE,,,,,
2499259,210.4597433,19.94331472,0.88,0.72,1.078167097,1.078167097,1.078167097,B,C,2,FALSE,FALSE,,,,,
2504710,172.9909418,19.25766513,0.98,0.71,0.700963101,0.700963024,0.700963063,A,B,2,TRUE,FALSE,,,,,
2504735,113.6936541,19.25012152,0.98,0.72,1.20351926,1.20351926,1.20351926,A,C,2,FALSE,TRUE,B,,,,
2505056,172.1057616,19.17872754,0.93,0.81,2.140091924,2.140091924,2.140091924,C,C,2,FALSE,FALSE,,,,,
2506210,20.16003445,19.1133875,0.92,0.54,0.869477715,0.869477715,0.869477715,A,C,2,FALSE,FALSE,,,,,
2506324,242.0343327,19.0871502,0.97,0.67,1.069868438,1.069868438,1.069868438,C,C,2,FALSE,FALSE,,,,,
2507053,139.8837242,18.91387282,0.9,0.79,2.552914181,2.552914181,2.552914181,C,C,2,FALSE,FALSE,,,,,
2508477,264.616876,18.8010248,0.91,0.78,2.254423831,2.254423831,2.254423831,C,A,2,FALSE,FALSE,,,,,
2510690,226.0707517,18.47449534,0.98,0.96,2.643173701,2.643173701,2.643173701,B,B,2,FALSE,FALSE,,,,,
2514580,38.12995768,17.99308724,0.98,0.77,1.532798773,1.532798773,1.532798773,A,B,2,FALSE,TRUE,C,,,,
2517932,155.8453407,17.61418052,0.98,0.77,0.814921197,0.814921197,0.814921197,A,C,2,FALSE,TRUE,A,,,,
2518403,247.7749781,17.4991825,0.98,0.88,2.22742889,2.22742889,2.22742889,C,A,2,FALSE,FALSE,,,,,
2518546,238.1621301,17.46429395,0.94,0.6,0.867727205,0.867727205,0.867727205,B,C,2,FALSE,FALSE,,,,,
2520241,152.0733359,17.25531985,0.89,0.78,2.912060341,2.912060341,2.912060341,C,A,2,FALSE,TRUE,B,,,,
2520705,243.3334194,17.14422026,0.94,0.8,0.753081912,0.753081912,0.753081912,A,B,2,FALSE,TRUE,A,,,,
2521511,190.6760683,17.12212059,0.95,0.78,3.525369855,3.525369855,3.525369855,C,C,2,FALSE,FALSE,,,,,visible lens
2521749,118.8663397,17.09293254,0.98,0.91,2.431288083,2.431288083,2.431288083,B,B,2,FALSE,FALSE,,,,,
2522295,194.5801,16.9549231,0.98,0.95,0.627951493,0.627951307,0.6279514,A,A,2,TRUE,FALSE,,,,,
2523696,5.239581343,16.82688848,0.97,0.74,2.257517915,2.257517915,2.257517915,C,A,2,FALSE,FALSE,,,,,
2525692,255.605552,16.5307876,0.96,0.76,2.510427218,2.510427218,2.510427218,C,A,2,FALSE,FALSE,,,,,
2525819,0.235978059,16.49727735,0.95,0.76,0.836050621,0.836050621,0.836050621,C,C,2,FALSE,FALSE,,,,,
2526398,205.373691,16.37707955,0.92,0.62,1.415974196,1.415974196,1.415974196,B,B,2,FALSE,FALSE,,,,,
2528822,318.9109468,16.12561181,0.98,0.61,0.856385455,0.856385455,0.856385455,B,C,2,FALSE,FALSE,,,,,
2528914,180.0511151,16.12338876,0.98,0.85,0.942882876,0.942882876,0.942882876,A,C,2,FALSE,FALSE,,,,,
2533554,198.4169648,15.46988155,0.95,0.65,0.80467248,0.80467248,0.80467248,B,C,2,FALSE,FALSE,,,,,
2535201,225.8019119,15.29825465,0.97,0.82,1.514808308,1.514808308,1.514808308,C,B,2,FALSE,FALSE,,,,,
2535565,136.0175753,15.21500961,0.99,0.95,0.53311839,0.533118251,0.533118321,A,A,2,TRUE,FALSE,,,,,
